campus_id,timestamp,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed
0,09-04-2024,32.1,,,0,1010.3,74,9.3
0,10-04-2024,31.1,,,0,1010.3,108,12
0,11-04-2024,31,,,0,1011.5,114,8.6
0,12-04-2024,30.8,,,0,1010.9,136,7.5
0,13-04-2024,28.7,,,1.1,1010.5,103,9.9
0,14-04-2024,29.5,,,0,1012,95,10.1
0,15-04-2024,31.2,,,0,1012.6,320,9.4
0,16-04-2024,31.5,,,0,1012.6,330,11.1
0,17-04-2024,31.7,,,0,1011.3,340,9.9
0,18-04-2024,32.3,,,0,1009.3,305,9.5
0,19-04-2024,32.8,,,0,1005.9,269,15.9
0,20-04-2024,31.1,,,0,1006.4,282,11.9
0,21-04-2024,30.8,,,0,1007.6,312,6.4
0,22-04-2024,31.6,,,0,1007.7,354,7.2
0,23-04-2024,32,,,0,1007,322,9
0,24-04-2024,32.3,,,0,1007.3,41,8
0,25-04-2024,33.6,,,0,1007.3,59,6.5
0,26-04-2024,31.2,,,0,1006.8,273,8.5
0,27-04-2024,31.9,,,0,1007.7,272,12.5
0,28-04-2024,32.3,,,0,1008,323,6.1
0,29-04-2024,33,,,0,1007.2,307,12.6
0,30-04-2024,30.8,,,0,1007.2,335,10.4
0,01-05-2024,29.7,,,0,1006.1,348,11.1
0,02-05-2024,30,,,0,1006.8,331,8.2
0,03-05-2024,31.5,,,0,1007.3,322,5
0,04-05-2024,33.2,,,0,1007.3,297,6.5
0,05-05-2024,34.6,,,0,1003.7,298,11.4
0,06-05-2024,34.9,,,0,1005.4,303,6.6
0,07-05-2024,36,,,0,1005.7,317,4.9
0,08-05-2024,35.4,,,0,1005.5,63,13.4
0,09-05-2024,34.9,,,0,1004.9,69,12.7
0,10-05-2024,35.2,,,0,1006.2,87,11.4
0,11-05-2024,33,,,0,1009.7,93,11.4
0,12-05-2024,33,,,2,1010,302,10.6
0,13-05-2024,34.1,,,0,1008.8,74,7.3
0,14-05-2024,34.5,,,0,1009.5,315,7.6
0,15-05-2024,34.9,,,0,1009.7,11,7.3
0,16-05-2024,37.6,,,0,1008.5,4,6.5
0,17-05-2024,37.9,,,0,1005.6,326,5.8
0,18-05-2024,38.1,,,0,1003.3,316,9.3
0,19-05-2024,37.9,,,0,1002.1,341,9.4
0,20-05-2024,38.7,,,0,1002.8,296,9.2
0,21-05-2024,39.4,,,0,1002.8,305,9.5
0,22-05-2024,38.3,,,0,1001.9,86,7.8
0,23-05-2024,37.7,,,0,1000.7,90,16.9
0,24-05-2024,36.9,,,0,1001.3,97,15.3
0,25-05-2024,37.2,,,0,1001.2,99,7.5
0,26-05-2024,39.2,,,0,999.2,334,5.9
0,27-05-2024,40,,,0,996.4,322,10.2
0,28-05-2024,39.9,,,0,995.2,290,13.1
0,29-05-2024,39.2,,,0,996.7,276,16.7
0,30-05-2024,38,,,0,998.4,278,16.4
0,31-05-2024,39.2,,,0,1001.4,300,14.5
0,01-06-2024,35.2,,,0,1003.1,315,13.3
0,02-06-2024,33.6,,,0,1004.6,312,13.5
0,03-06-2024,35.7,,,0,1003.5,295,9.4
0,04-06-2024,37.5,,,0,1003.3,300,11.4
0,05-06-2024,37.4,,,0,1003.8,278,14.5
0,06-06-2024,35.8,,,0,1006.1,301,11.4
0,07-06-2024,33.4,,,0,1004.8,330,9.7
0,08-06-2024,34.4,,,0,1003.5,292,11.2
0,09-06-2024,36.4,,,0,1002.6,325,8.4
0,10-06-2024,37.2,,,0,1002.6,309,7.8
0,11-06-2024,36.9,,,0,1002.6,307,12.9
0,12-06-2024,36.6,,,0,1002.9,291,15.4
0,13-06-2024,34.7,,,0.3,1002.5,285,12.8
0,14-06-2024,34.7,,,0,1001.8,298,12.5
0,15-06-2024,36.2,,,0,1001.6,284,12.2
0,16-06-2024,37.5,,,0,1002,293,15
0,17-06-2024,38.1,,,0,1001.2,278,15.3
0,18-06-2024,38,,,0,999.7,285,19.1
0,19-06-2024,36.6,,,0,998,268,15.5
0,20-06-2024,30.3,,,0,998.7,246,12.4
0,21-06-2024,28.2,,,0.7,1001.4,192,12.4
0,22-06-2024,32.8,,,0.2,1000.5,113,6.1
0,23-06-2024,33.5,,,0.9,1000.5,85,8.4
0,24-06-2024,32.5,,,0.4,999.5,89,8.4
0,25-06-2024,30.7,,,1.8,997.6,90,9
0,26-06-2024,30.7,,,3.5,999.2,102,9.3
0,27-06-2024,29.7,,,6.1,1001.1,94,11.7
0,28-06-2024,29.9,,,1,1001,151,8.8
0,29-06-2024,29.8,,,0,1000.2,244,9.1
0,30-06-2024,30.3,,,7.9,999.8,255,8.4
0,01-07-2024,30.9,,,4.1,997.8,248,10.9
0,02-07-2024,31.2,,,0,996.4,231,10.7
0,03-07-2024,30.9,,,1.2,998.1,233,12.4
0,04-07-2024,26.9,,,28.5,1000.8,321,5.9
0,05-07-2024,27.3,,,26.6,997.9,273,6.1
0,06-07-2024,29.4,,,1.1,996.9,282,10.9
0,07-07-2024,29.9,,,1.8,999.8,255,9.9
0,08-07-2024,28.2,,,23.9,1002.5,98,9.5
0,09-07-2024,30.2,,,24.9,1003.2,90,7.3
0,10-07-2024,30.9,,,9.3,1003.6,75,7.1
0,11-07-2024,31.2,,,0.6,1000.8,272,14.4
0,12-07-2024,29.5,,,14.7,998.8,294,9.7
0,13-07-2024,29.3,,,19.1,999.4,299,8.6
0,14-07-2024,30.3,,,1.1,999,287,8.3
0,15-07-2024,31.2,,,1,1000.2,68,9.8
0,16-07-2024,32.2,,,0,1000.7,79,12.4
0,17-07-2024,32.4,,,0.7,1000.8,85,12.4
0,18-07-2024,30.8,,,0,1000.1,88,7.2
0,19-07-2024,31.6,,,0.1,998.8,95,8.6
0,20-07-2024,32.3,,,0,999.7,123,8.2
0,21-07-2024,31.3,,,1.1,999.3,137,7.8
0,22-07-2024,32.4,,,6.1,999.6,187,5.4
0,23-07-2024,31.5,,,0,999.1,272,6.7
0,24-07-2024,28.4,,,0.8,996.7,269,11
0,25-07-2024,27.8,,,2,995.8,281,8.9
0,26-07-2024,28.7,,,2.3,997.1,286,7.9
0,27-07-2024,29.7,,,3.7,998.8,303,8.3
0,28-07-2024,31.1,,,8,998.3,49,8.1
0,29-07-2024,31.4,,,7.1,998.2,82,12.8
0,30-07-2024,31.3,,,0,1000.5,128,7.8
0,31-07-2024,30.3,,,5.1,1000.8,281,8.5
0,01-08-2024,25.7,,,156,1000.4,305,9.7
0,02-08-2024,27,,,6.2,998.7,291,7.3
0,03-08-2024,28.5,,,0.8,1000.4,177,8.7
0,04-08-2024,29.3,,,2,1000.7,64,9.8
0,05-08-2024,26.3,,,21.1,999,150,14.5
0,06-08-2024,26.6,,,3,1001.4,238,13.2
0,07-08-2024,26.3,,,2,1002.5,263,12.8
0,08-08-2024,26.1,,,2,1004.2,273,9.8
0,09-08-2024,26.4,,,19.5,1005.1,272,10.1
0,10-08-2024,26.9,,,7.1,1004.4,283,9.9
0,11-08-2024,26.2,,,5.1,1002.6,280,7.4
0,12-08-2024,25.6,,,37,1004.1,288,7.4
